code_zone_geo;zone_geographique;annee;code_type_org;type_d_organisme;code_indicateur;indicateur;code_type_pers;type_de_personnel;secret;non_disponible;etat_des_donnees;valeur
41;Lorraine;2006;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;3505.94
41;Lorraine;2009;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;4202.98
41;Lorraine;2009;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;3549.81
41;Lorraine;2011;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;1635.79
41;Lorraine;2012;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;3939.76
41;Lorraine;2012;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;1656.77
42;Alsace;2002;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;3681.53
42;Alsace;2007;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;4187.6
42;Alsace;2009;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;2352.71
42;Alsace;2010;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;2629.17
42;Alsace;2012;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;954.38
43;Franche-Comté;2001;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;485.98
43;Franche-Comté;2002;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;3328.7
43;Franche-Comté;2006;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;834.11
43;Franche-Comté;2007;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;822.33
43;Franche-Comté;2008;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;3281.09
43;Franche-Comté;2009;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;3821.38
43;Franche-Comté;2013;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;semi-définitif;2683.35
52;Pays de la Loire;2004;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;724.97
52;Pays de la Loire;2004;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;270.77
